country,common_name,total_observations
Indonesia,"Brassy Drummer",81
Indonesia,Istigobius,81
Indonesia,"Striped Goby",81
Indonesia,"Orangelined Cardinalfish",81
Indonesia,"Longnose Hawkfish",81
Indonesia,"Spotted Rabbitfish",80
Indonesia,Seahorse,80
Indonesia,"Bristletooth Tang",80
Indonesia,Vieja,80
Indonesia,"Crimson Soldierfish",80
Indonesia,"Butterflyfishs, Angelfishs, And Allie",80
Indonesia,"Alligator Gar",79
Indonesia,"Lined Soapfish",79
Indonesia,"Black Leopard Wrasse",79
Indonesia,"Pastel Ring Wrasse",79
Indonesia,Cardinalfish,79
Indonesia,"Flagtail Shrimpgoby",79
Indonesia,"Speckled Snapper",79
Indonesia,Corythoichthys,79
Indonesia,"Estuarine Stonefish",78
Indonesia,"Paddle-Flap Scorpionfish",78
Indonesia,"Indian Vagabond Butterflyfish",78
Indonesia,"Leopard Rockcod",78
Indonesia,"Hampala Barb",78
Indonesia,"Spotted Archerfish",78
Indonesia,Ambassis,78
Indonesia,"Princess Damsel",78
Indonesia,"Barred Filefish",78
Indonesia,"Mud-Reef Goby",78
Indonesia,"Tiger Barb",77
Indonesia,"Golden Trevally",77
Indonesia,"Striped Large-Eye Bream",77
Indonesia,"Sixband Parrotfish",77
Indonesia,"Ventral-Barred Shrimpgoby",77
Indonesia,"Whitetail Surgeonfish",76
Indonesia,"Weedy Scorpionfish",76
Indonesia,"Spottail Dartfish",76
Indonesia,"Coral Beauty",76
Indonesia,"Seram Blenny",76
Indonesia,"Yellowbar Parrotfish",75
Indonesia,"Needlefishs, Halfbeaks, And Allie",75
Indonesia,Rabbitfish,75
Indonesia,Lionfish,74
Indonesia,"Redmouth Grouper",74
Indonesia,"Spurcheek Cardinalfish",74
Indonesia,"Spot-Tail Shark",74
Indonesia,"Devil Ray",74
Indonesia,Milkfish,74
Indonesia,"Red-Bellied Pacu",74
Indonesia,"Forest Walking Catfish",73
Indonesia,"Cinnabar Goatfish",73
Indonesia,"Areolate Grouper",73
Indonesia,"Latent Slingjaw Wrasse",73
Indonesia,"Cheekbar Cardinalfish",73
Indonesia,"Longnose Filefish",73
Indonesia,"Whiteface Waspfish",72
Indonesia,"Barcheek Trevally",72
Indonesia,"Bengal Sergeant",72
Indonesia,"Strawberry Grouper",72
Indonesia,"Mangrove Red Snapper",72
Indonesia,"Barred-Fin Moray",72
Indonesia,"Sea Mullet",71
Indonesia,"Blacktip Silverbiddy",71
Indonesia,Needlefish,71
Indonesia,"Hairfin Goby",71
Indonesia,"Purple Threadfin Bream",71
Indonesia,Barracuda,71
Indonesia,"Weber'S Puller",71
Indonesia,"Fivefinger Razorfish",70
Indonesia,"Silver Halfbeak",70
Indonesia,"Old World Silverside",70
Indonesia,Caranginae,69
Indonesia,"Convict Blenny",69
Indonesia,"South And Central American Cichlid",69
Indonesia,"Saddle Grouper",69
Indonesia,"Greencheek Parrotfish",69
Indonesia,"Twinspot Lionfish",69
Indonesia,"Moluccan Bluespotted Maskray",69
Indonesia,"Shadowfin Soldierfish",68
Indonesia,"European Carp",68
Indonesia,"Schroeder'S Combtooth Blenny",68
