common_name,country
"Blackfoot Goby",indonesia
"Butterfly Peacock Bas",indonesia
"Congo Tetra",indonesia
"Blue-Line Triggerfish",indonesia
"Ocular Combtooth Blenny",indonesia
"Yellow Cardinalfish",indonesia
"Smallmouth Squirrelfish",indonesia
"Yellowspotted Scorpionfish",indonesia
"Fork Tail",indonesia
"Sharptooth Snapper",indonesia
"Whipfin Ponyfish",indonesia
"Greasy Rockcod",indonesia
"Nursalim Flasher Wrasse",indonesia
"Ambon Sole",indonesia
"Yellownose Shrimpgoby",indonesia
"Flores Reef Moray",indonesia
"Chrysichthys Auratus",indonesia
"Chestnut Blenny",indonesia
"Blue Flasher Wrasse",indonesia
"Robust Ribbongoby",indonesia
"Randall'S Coralblenny",indonesia
Stalix,indonesia
Rhinolepadichthys,indonesia
"Two-Spot Mystu",indonesia
"Betta Hipposideros",indonesia
"Sundadanio Goblinus",indonesia
"Indonesian Superdwarf Fish",indonesia
"Neohomaloptera Johorensis",indonesia
"Paedocypris Carbunculus",indonesia
Paedocypris,indonesia
"Parosphromenus Phoenicurus",indonesia
"Dwarf Bumblebee Catfish",indonesia
Leiocassis,indonesia
"Sundadanio Margarition",indonesia
Pectenocypris,indonesia
Neohomaloptera,indonesia
"Bryozoan Goby",indonesia
"Hemibagrus Hoevenii",indonesia
"Griffiths' Razorfish",indonesia
"Ornate Hawkfish",indonesia
"Cobalt Blue Goby",indonesia
Sicyopterus,indonesia
"Pangas Catfish",indonesia
"Bearded Wormgoby",indonesia
"Blackfin Anemonefish",indonesia
"White-Bonnet Anemonefish",indonesia
"Banda Blenny",indonesia
"Black Rockcod",indonesia
"Backspot Flying Fish",indonesia
Muraenichthys,indonesia
"Elongate Ponyfish",indonesia
Slickhead,indonesia
"Orinoco Peacock Bas",indonesia
"Spot-Tail Anglerfish",indonesia
"Robust Mangrovegoby",indonesia
"Speckled Peacock Bas",indonesia
"Checkered Dottyback",indonesia
"New Guinea Mudskipper",indonesia
"Hampala Ampalong",indonesia
Vieja,indonesia
"Pinkspot Shrimpgoby",indonesia
"Toli Shad",indonesia
"Ceram Cardinalfish",indonesia
"Wavy-Lined Grouper",indonesia
"Tapajos Red Head",indonesia
"Red Hind",indonesia
"White-Tailed Chromi",indonesia
"Spotted-Tail Sole",indonesia
"African Pike Characin",indonesia
"Zebra Archerfish",indonesia
"American Paddlefish",indonesia
"Common Hatchetfish",indonesia
"Altum Angelfish",indonesia
Sterlet,indonesia
"Brackish Damselfish",indonesia
Uaru,indonesia
"Chinese Sturgeon",indonesia
"Nile Perch",indonesia
"Goliath Tigerfish",indonesia
"African Arowana",indonesia
"Mbu Puffer",indonesia
"Sneaky Wrasse",indonesia
"Ambon Toby",indonesia
"Cocopeel X Eibl'S Angelfish",indonesia
"Frail Gourami",indonesia
"Heller'S Barracuda",indonesia
"Yellowmouth Moray",indonesia
"Coral Dragonet",indonesia
"Lori'S Anthia",indonesia
"Ocellate Scorpionfish",indonesia
"Pura Chromi",indonesia
"Pyle'S Dottyback",indonesia
"Yangtze Catfish",indonesia
"Buan Goby",indonesia
"Pterocryptis Furnessi",indonesia
"Needle-Tooth Moray",indonesia
"Darkspot Tuskfish",indonesia
"Black Phantom Tetra",indonesia
Sandburrower,indonesia
"Redtail Parrotfish",indonesia
"Cross'S Damselfish",indonesia
"Splitfin Anthiase",indonesia
"Red-Striped Toadfish",indonesia
"Brighteye Damselfish",indonesia
"Yellowhead Angelfish",indonesia
"Edith'S Mouthbrooder",indonesia
"Veined Catfish",indonesia
"Island Gregory",indonesia
"Callionymus Erythraeus",indonesia
Gar,indonesia
"Bolivian Ram Cichlid",indonesia
"Spotted X Spotbanded Butterflyfish",indonesia
"Grammonus Thielei",indonesia
"Indian Mud Moray",indonesia
Guapote,indonesia
"Silver Blade Minnow",indonesia
"Argentine Humphead",indonesia
Selaroides,indonesia
"Gold-Spotted Grenadier Anchovy",indonesia
"Atlantic Mudskipper",indonesia
"Barred Blenny",indonesia
"Similar Cardinalfish",indonesia
"Satinfin Shiner",indonesia
"Atlantic Bumper",indonesia
"Silver Sweep",indonesia
"Blue Runner",indonesia
"Atlantic Crevalle Jack",indonesia
"Atlantic Needlefish",indonesia
"Silver Perch",indonesia
"Yellow Pike-Conger",indonesia
"Orangeband X Doubleband Surgeonfish",indonesia
"Glider Flyingfish",indonesia
"Spotfin Flyingfish",indonesia
Doryrhamphus,indonesia
"Capricorn Cardinalfish",indonesia
"Lantana Pygmygoby",indonesia
"Twinspot Grouper",indonesia
"Tropical Gar",indonesia
Stonogobiops,indonesia
"Hyaline Cardinalfish",indonesia
"Margined Flyingfish",indonesia
"Bigeye Soldierfish",indonesia
"Violet Squirrelfish",indonesia
"Redstreaked Blenny",indonesia
"Redback Ring Wrasse",indonesia
"Blacktail Chromi",indonesia
"Green Terror",indonesia
"Bluestripe Squirrelfish",indonesia
"Wirenet Rockcod",indonesia
"Rasbora Aprotaenia",indonesia
"Rib-Bar Cardinalfish",indonesia
Moonyfish,indonesia
"Donkey Croaker",indonesia
"Pearly Cardinalfish",indonesia
"Barred Loach",indonesia
Otocinclus,indonesia
"Hardback King Pleco",indonesia
"Delicate Dragonet",indonesia
"Hawaiian Ladyfish",indonesia
"Otomebora Mullet",indonesia
"Pontian Betta",indonesia
"Slender Betta",indonesia
Micronema,indonesia
"Barbichthys Laevis",indonesia
Harpadon,indonesia
"Pink Mud Goby",indonesia
"Spotted Flathead",indonesia
"Ember Tetra",indonesia
"Green Neon Tetra",indonesia
"Emerald Catfish",indonesia
"Barbonymus Collingwoodii",indonesia
"Hawaiian Sergeant Major",indonesia
"African Tigerfish",indonesia
Peckoltia,indonesia
"Bay Snook",indonesia
"Calvus Cichlid",indonesia
"Red Spot Puffer",indonesia
"Poll'S Bichir",indonesia
"Yellowtail Damselfish",indonesia
"Hornpike Longtom",indonesia
"Cryptarius Truncatus",indonesia
"Thinspine Sea Catfish",indonesia
"Twoblotch Ponyfish",indonesia
"Bornean Featherback",indonesia
"Fahaka Puffer",indonesia
"Golden Tetra",indonesia
"Beardless Sea Catfish",indonesia
Fugu,indonesia
"Raja Betta",indonesia
Hypsypops,indonesia
"Rasbora Paucisqualis",indonesia
"Oriental Weatherfish",indonesia
"Red Wine Betta",indonesia
"Whitefin Wolf Herring",indonesia
"Big-Head Pennah Croaker",indonesia
"Brown Hillstream Catfish",indonesia
"Neolissochilus Soro",indonesia
"Muzzled Blenny",indonesia
"Green-Shoulder Goby",indonesia
Eirmotus,indonesia
"Nemacheilus Chrysolaimos",indonesia
"Two-Spot Catfish",indonesia
"Kottelatlimia Pristes",indonesia
"Harvey'S Licorice Gourami",indonesia
"Banded Ilisha",indonesia
"Red-Margined Fairy Wrasse",indonesia
"Rasbora Baliensis",indonesia
"Betta Pinguis",indonesia
"Greeneyed Betta",indonesia
"African Scat",indonesia
"Tailspot Ctenopoma",indonesia
Grass-Eater,indonesia
"Giant Chinese Bitterling",indonesia
"Red Phantom Tetra",indonesia
"Celebes Rainbowfish",indonesia
Yellowfish,indonesia
"Nemacheilus Spiniferus",indonesia
"Panda Corydora",indonesia
"Large-Scale Yellowfish",indonesia
"Pink Squirrelfish",indonesia
"Sarawak Rasbora",indonesia
"Indonesian Damsel",indonesia
"Sharpnose Wrasse",indonesia
Brycon,indonesia
"Snakeskin Barb",indonesia
"Rainbow Snakehead",indonesia
"Nemadoras Elongatus",indonesia
"Eirmotus Furvus",indonesia
Desmopuntius,indonesia
"Peppered Cory",indonesia
"Pygmy Corydora",indonesia
"Crossband Chocolate Gourami",indonesia
"Blue-Eyed Mulletgoby",indonesia
"Ompok Eugeneiatus",indonesia
"Fourline Striped Grunter",indonesia
"Arius Utik",indonesia
"Betta Obscura",indonesia
"Spiketail Licorice Gourami",indonesia
"Yellow Puffer",indonesia
"Glassy Medaka",indonesia
"Barred Bichir",indonesia
"Mouth Almighty",indonesia
"Microphysogobio Tafangensis",indonesia
Dorado,indonesia
"Barcoo Grunter",indonesia
