scientific_name,common_name,image_url
Cirrhilabrus lubbocki,Orangeback Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/462310312/medium.jpg
Melichthys vidua,Pinktail Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/8373357/medium.jpg
Labridae,Wrasses and Parrotfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/19491788/medium.jpg
Ctenochaetus tominiensis,Orange-tip Bristletooth,https://static.inaturalist.org/photos/27823423/medium.jpg
Macolor macularis,Midnight Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/156951458/medium.jpeg
Chaetodon punctatofasciatus,Spotbanded Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/255620804/medium.jpg
Forcipiger flavissimus,Forceps Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/2037558/medium.jpg
Hemitaurichthys polylepis,Pyramid Butterflyfish,https://static.inaturalist.org/photos/230601644/medium.jpg
Upeneus tragula,Freckled Goatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/347404363/medium.jpg
Pteropterus antennatus,Spotfin Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/426826034/medium.jpeg
Synchiropus splendidus,Mandarinfish,https://inaturalist-open-data.s3.amazonaws.com/photos/235301873/medium.jpg
Arothron mappa,Map Puffer,https://inaturalist-open-data.s3.amazonaws.com/photos/49403/medium.jpg
Neoglyphidodon nigroris,Indo-Pacific Yellowtail Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/255728142/medium.jpg
Pempheris,Pempheris,https://static.inaturalist.org/photos/5702879/medium.jpg
Taeniamia fucata,Orangelined Cardinalfish,https://static.inaturalist.org/photos/119910592/medium.jpg
Fusigobius,Fusigobius,https://inaturalist-open-data.s3.amazonaws.com/photos/22660359/medium.jpeg
Cheilodipterus intermedius,Intermediate Cardinalfish,https://static.inaturalist.org/photos/29302517/medium.jpg
Amblyglyphidodon leucogaster,Whitebelly Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/244158674/medium.jpg
Ostorhinchus novemfasciatus,Sevenstripe Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/200365306/medium.jpeg
Dischistodus chrysopoecilus,Whitepatch Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/59036290/medium.jpeg
Lethrinus harak,Thumbprint Emperor,https://inaturalist-open-data.s3.amazonaws.com/photos/188368892/medium.jpg
Pomacentrinae,Typical Damselfishes and Anemonefishes,https://inaturalist-open-data.s3.amazonaws.com/photos/60842946/medium.jpg
Acanthurus lineatus,Striped Surgeonfish,https://inaturalist-open-data.s3.amazonaws.com/photos/106348771/medium.jpg
